operator,trayek,kode,nama_trayek,lintasan,jumlah_kendaraan,jumlah_trayek
Perum PPD,Reguler,NE2,TERM RAWAMANGUN-TERM GROGOL,TERM RAWAMANGUN - PEMUDA - PRAMUKA - SALEMBA RAYA - JL KRAMAT RAYA - KWITANG - R  RAIS - MERDEKA TMR - MERDEKA UTR - S PRANOTO - TOMANG RY - CIDENG TMR - BERPUTAR -  CIDENG BRT BRT - KYAI TAPA - TERM GROGOL,5,1
Perum PPD,Reguler,210,GROGOL - RAWAMANGUN,TERM. GROGOL - JL. S. PARMAN - JL. GATOT SUBROTO - JL. SEMANGGI - JL. JEND. SUDIRMAN - JL.  IMAM BONJOL - JL. DIPONOGORO - JL. SALEMBA RAYA - JL. PRAMUKA - JL. UTAN KAYU - JL.  RAWAMANGUN MUKA - JL. WARU - JL. TERM. RAWAMANGUN,5,1
Perum PPD,Reguler,213,GROGOL - KP. MELAYU,TERM. GROGOL - JL. S. PARMAN - JL. GATOTO SUBROTO - JL. SEMANGGI - JL. JEND. SUDIRMAN - JL.  IMAM BONJOL - JL. DIPONOGORO - JL. MATRAMAN RAYA - JL. JATINEGARA TMR - TERM. KP. MELAYU,43,1
Perum PPD,Reguler,41A,KP RAMBUTAN - DR SUTOMO,TERM KP RAMBUTAN - JL TB SIMATUPANG - JL RAYA BOGOR - JL SUTOYO - JL DI PANJAITAN - JL A  YANI - JL SUPRAPTO - JL KRAMAT BDR - JL SENEN - JL KWINI II - JL PEJAMBON - JL MERDEKA TMR - JL  PERWIRA - JL KHATEDRAL - JL POS - DR SUTOMO,3,1
Perum PPD,Reguler,43,CILILITAN - TG. PRIOK,TERM. CILILITAN - JL. SUTOMO - JL. DI. PANJAITAN - JL. ACHMAD YANI - JL. YOS SUDARSO - JL.  ENGGANO - TERM. TG. PRIOK,39,1
Perum PPD,Reguler,45,CILILITAN - BLOK M,TERM. BLOK M - JL. SUTOYO - JL. GT. SUBROTO - JL. KAPT. TENDEAN - JL. W. MONGINSIDI - JL.  TRUNOJOYO - TERM. BLOK M,24,1
Perum PPD,Reguler,46,CILILITAN - GROGOL,TERM CILILITAN - JL SUTOYO - JL MT HARYONO - GT SUBROTO - JL S PARMAN - JL KYAI TAPA - TERM  GROGOL,9,1
Perum PPD,Reguler,916,KP MELAYU - TNH ABANG,TERM KP MELAYU - JATINEGARA BRT - MATRAMAN RAYA - SALEMBA RAYA - KRAMAT RAYA -  KWITANG - TUGU TANI - RIDWAN RAIS - MERDEKA SELATAN - H AGUS SALIM - KEBON SIRIH -  FACHRUDDIN - TANAH ABANG,5,1
Perum PPD,Patas AC,AC16,RAWA MANGUN - LB BULUS,TERM RW MANGUN - JL. PEGAMBIRAN - JL. CIPINANG BARU - JL. PRAMUKA - JL. MATRAMAN RAYA -  JL. SALEMBA RAYA - JL. DIPONEGORO - JL. IMAM BONJOL - JL. JEND SUDIRMAN - JL. PINTU IX - JL.  PAKUBUWONO - JL. VELBAK - JL. ARTERI PONDO INDAK - JL. TERM LB BULUS,13,1
Perum PPD,Patas AC,AC17,TERM BEKASI - KARET,TERM BEKASI - JL. IR JUANDA - JL. JOYOMARTONO - TOL CIKAMPEK - TOL DALAM KOTA - JL. GATOT  SUBROTO - JL. SEMANGGI - JL. JEND SUDIRMAN - JL KH MAS MANSUR - JL. BERPUTAR DI SAHID.,15,1
Perum PPD,Patas AC,AC18,PULOGADUNG - DEPOK TMR,TERM PULO GADUNG - JL. P. KEMERDEKAAN - JL. A. YANI - JL. DI PANJAITAN - JL. SUTOYO - TOL  JAGORAWI - JL. RAYA BOGOR - JL. DEPOK TIMUR,10,1
Perum PPD,Patas   ,P2,CILILITAN - HARMONI,TERM CILILITAN - JL SUTOYO - JL MT HARYONO - JL OTISTA RAYA - JL MATRAMAN RAYA - JL SALEMBA -  JL KRAMAT RAYA - JL KWITANG RAYA - JL R RAIS - JL MERDEKA TMR - JL MERDEKA UTARA - JL G  MADA - JL HARMONI,6,1
